InvoiceDate,Make,CountryName,SalePrice,CostPrice,TotalDiscount,DeliveryCharge,SpareParts,LaborCost,Model,Color,ReportingYear,ReportingMonth,Registration_Date,VehicleType
2013-09-02,Jaguar,United Kingdom,39500,37500,150,50,400,325,XK,Green,2013,9,2006-09-20,Saloon
2013-10-02,TVR,USA,41250,37500,150,50,400,325,Tuscan,Blue,2013,10,2007-05-09,Coupe
2013-11-02,Jaguar,United Kingdom,29750,37500,150,50,400,325,XK,Blue,2013,11,2006-09-20,Coupe
2013-12-02,Jaguar,United Kingdom,41250,37500,150,50,400,325,XJ6,Blue,2013,12,2006-09-20,Saloon
2013-04-02,Jaguar,United Kingdom,39500,62000,150,50,400,250,XK,Night Blue,2013,4,2005-09-20,Coupe
2013-05-02,Jaguar,United Kingdom,41250,62000,150,50,400,250,XK,Canary Yellow,2013,5,2005-09-20,Saloon
2013-11-02,Jaguar,United Kingdom,41250,62000,150,50,400,250,XK,Blue,2013,11,2005-09-20,Saloon
2013-12-02,Jaguar,United Kingdom,41250,62000,150,50,400,250,XK,Blue,2013,12,2005-09-20,Saloon
2013-01-02,MGB,United Kingdom,39500,4500,150,50,400,325,GT,Green,2013,1,2005-09-20,Coupe
2013-07-02,MGB,United Kingdom,25250,4500,150,50,400,325,GT,Blue,2013,7,1974-09-20,Coupe
2013-08-02,MGB,United Kingdom,22500,8500,150,50,400,325,GT,Green,2013,8,1974-09-20,Coupe
2013-10-02,MGB,United Kingdom,22500,8500,150,50,400,325,GT,Canary Yellow,2013,10,1976-09-20,Coupe
2013-11-02,MGB,United Kingdom,25250,4500,150,50,400,325,GT,Night Blue,2013,11,1976-09-20,Coupe
2013-03-02,Triumph,United Kingdom,22500,8500,150,50,400,325,TR7,British Racing Green,2013,3,1978-09-20,Coupe
2013-04-02,Triumph,United Kingdom,22500,17000,150,50,400,325,TR4,Night Blue,2013,4,1976-09-20,Coupe
2013-05-02,Triumph,United Kingdom,22500,8500,150,50,400,325,TR4,Canary Yellow,2013,5,1976-09-20,Coupe
2013-07-02,Triumph,United Kingdom,25250,17000,150,50,400,325,TR5,Blue,2013,7,1974-09-20,Coupe
2013-09-02,Triumph,United Kingdom,25250,17000,150,50,400,325,TR4,Red,2013,9,1974-09-20,Coupe
2015-07-02,Rolls Royce,United Kingdom,112750,67000,1800,475,400,951,Silver Seraph,Red,2015,7,1999-01-01,Saloon
2015-08-02,Rolls Royce,United Kingdom,105250,67000,50,975,400,987,Silver Ghost,Black,2015,8,2001-05-05,Saloon
2015-09-02,Rolls Royce,United Kingdom,132750,67000,50,425,400,750,Silver Shadow,British Racing Green,2015,9,1985-01-08,Saloon
2015-05-02,Aston Martin,United Kingdom,112750,80890,50.01,475,400,147,DB4,Night Blue,2015,5,2006-09-08,Coupe
2015-02-02,Jaguar,Germany,32500,42500,200,25,400,486,XK,Red,2015,2,2007-05-09,Coupe
2015-03-02,TVR,Spain,44000,42500,200,25,400,325,Tuscan,Blue,2015,3,2006-09-20,Coupe
2015-04-02,Jaguar,Germany,42250,42500,200,25,400,325,XK,Green,2015,4,2007-05-09,Saloon
2015-05-02,TVR,Switzerland,32500,42500,200,25,400,325,Cerbera,Silver,2015,5,2006-09-20,Coupe
2015-06-02,Jaguar,USA,122750,42500,200,25,400,325,XK,Canary Yellow,2015,6,2007-05-09,Convertible
2015-07-02,TVR,United Kingdom,32500,42500,200,25,400,325,Tuscan,Night Blue,2015,7,2006-09-20,Coupe
2015-08-02,Jaguar,France,44000,42500,200,25,400,325,XK,Canary Yellow,2015,8,2006-09-20,Saloon
2015-09-02,TVR,United Kingdom,32500,42500,200,25,400,325,Cerbera,Silver,2015,9,2006-09-20,Coupe
2015-10-02,Jaguar,USA,42250,42500,200,25,400,325,XK,Red,2015,10,2006-09-20,Saloon
2015-11-02,TVR,United Kingdom,44000,42500,200,25,400,325,Tuscan,Blue,2015,11,2007-05-09,Coupe
2015-12-02,Jaguar,United Kingdom,32500,42500,200,25,400,325,XK,Blue,2015,12,2006-09-20,Coupe
2015-01-02,Jaguar,United Kingdom,44000,42500,200,25,400,325,XJ6,Blue,2015,1,2006-09-20,Saloon
2015-05-02,Jaguar,United Kingdom,42250,67000,200,25,400,250,XK,Red,2015,5,2005-09-20,Coupe
2015-06-02,Jaguar,United Kingdom,44000,67000,200,25,400,250,XK,Canary Yellow,2015,6,2005-09-20,Saloon
2015-12-02,Jaguar,United Kingdom,44000,67000,200,25,400,250,XK,Blue,2015,12,2005-09-20,Saloon
2015-01-02,Jaguar,United Kingdom,44000,67000,200,25,400,250,XK,Blue,2015,1,2005-09-20,Saloon
2015-02-02,MGB,United Kingdom,42250,9500,200,25,400,325,GT,Red,2015,2,2005-09-20,Coupe
2015-08-02,MGB,United Kingdom,28000,9500,200,25,400,325,GT,Blue,2015,8,1974-09-20,Coupe
2015-09-02,MGB,United Kingdom,25250,13500,200,25,400,325,GT,Green,2015,9,1974-09-20,Coupe
2015-11-02,MGB,United Kingdom,25250,13500,200,25,400,325,GT,Canary Yellow,2015,11,1976-09-20,Coupe
2015-12-02,MGB,United Kingdom,28000,9500,200,25,400,325,GT,Night Blue,2015,12,1976-09-20,Coupe
2015-04-02,Triumph,United Kingdom,25250,13500,200,50,400,325,TR7,British Racing Green,2015,4,1978-09-20,Coupe
2015-05-02,Triumph,United Kingdom,25250,22000,200,25,400,325,TR4,Night Blue,2015,5,1976-09-20,Coupe
2015-06-02,Triumph,Spain,25250,13500,200,25,400,325,TR4,Canary Yellow,2015,6,1976-09-20,Coupe
2015-08-02,Triumph,United Kingdom,28000,22000,200,50,400,325,TR5,Blue,2015,8,1974-09-20,Coupe
2015-10-02,Triumph,United Kingdom,28000,22000,200,25,400,325,TR4,Red,2015,10,1974-09-20,Coupe
2015-07-02,Rolls Royce,USA,112750,67000,1800,400,400,951,Camargue,Red,2015,7,1999-01-01,Saloon
2015-08-02,Rolls Royce,USA,105250,67000,50,900,400,987,Camargue,Black,2015,8,2001-05-05,Saloon
2015-09-02,Rolls Royce,USA,132750,67000,50,350,400,750,Camargue,British Racing Green,2015,9,1985-01-08,Saloon
2015-05-02,Aston Martin,USA,112750,80890,45,400,400,147,DB9,Night Blue,2015,5,2006-09-08,Coupe
2015-02-02,Jaguar,USA,32500,42500,200,-50,400,486,XK,Red,2015,2,2007-05-09,Coupe
2015-04-02,Jaguar,USA,42250,42500,200,-50,400,325,XK,Green,2015,4,2007-05-09,Saloon
2015-05-02,TVR,USA,32500,42500,200,-50,400,325,Tuscan,Silver,2015,5,2006-09-20,Coupe
2015-06-02,Jaguar,USA,122750,42500,350,-50,400,325,XK,Canary Yellow,2015,6,2007-05-09,Convertible
2015-07-02,TVR,USA,32500,42500,200,-50,400,325,Tuscan,Night Blue,2015,7,2006-09-20,Coupe
2015-08-02,Jaguar,USA,44000,42500,200,-50,400,325,XK,Canary Yellow,2015,8,2006-09-20,Saloon
2015-09-02,TVR,USA,32500,42500,200,-50,400,325,Tuscan,Silver,2015,9,2006-09-20,Coupe
2015-10-02,Jaguar,USA,42250,42500,350,-50,400,325,XK,Red,2015,10,2006-09-20,Saloon
2015-11-02,TVR,USA,44000,42500,200,-50,400,325,Tuscan,Blue,2015,11,2007-05-09,Coupe
2015-12-02,Jaguar,USA,32500,42500,350,-50,400,325,XK,Blue,2015,12,2006-09-20,Coupe
2015-01-02,Jaguar,USA,44000,42500,200,-50,400,325,XK,Blue,2015,1,2006-09-20,Saloon
2015-05-02,Jaguar,USA,42250,67000,200,-50,400,250,XK,Red,2015,5,2005-09-20,Coupe
2015-06-02,Jaguar,USA,44000,67000,200,-50,400,250,XK,Canary Yellow,2015,6,2005-09-20,Saloon
2015-12-02,Jaguar,USA,44000,67000,200,-50,400,250,XK,Blue,2015,12,2005-09-20,Saloon
2015-01-02,Jaguar,USA,44000,67000,150,-50,400,250,XK,Blue,2015,1,2005-09-20,Saloon
2015-02-02,MGB,USA,42250,9500,200,-50,400,325,GT,Red,2015,2,2005-09-20,Coupe
2015-08-02,MGB,USA,28000,9500,350,-50,400,325,GT,Blue,2015,8,1974-09-20,Coupe
2015-09-02,MGB,USA,25250,13500,200,-50,400,325,GT,Green,2015,9,1974-09-20,Coupe
2015-11-02,MGB,USA,25250,13500,200,-50,400,325,GT,Canary Yellow,2015,11,1976-09-20,Coupe
2015-12-02,MGB,USA,28000,9500,200,-50,400,325,GT,Night Blue,2015,12,1976-09-20,Coupe
2015-05-02,Triumph,USA,25250,22000,200,-50,400,325,TR4,Night Blue,2015,5,1976-09-20,Coupe
2015-08-02,Triumph,USA,28000,22000,200,50,400,325,TR4,Blue,2015,8,1974-09-20,Coupe
2015-10-02,Triumph,USA,28000,22000,200,-50,400,325,TR4,Red,2015,10,1974-09-20,Coupe
2012-10-04,Rolls Royce,United Kingdom,95000,50000,500,750,500,750,Camargue,Red,2012,10,1985-01-08,Saloon
2012-01-01,Aston Martin,United Kingdom,120000,75000,0,1500,600,550,DBS,Blue,2012,1,2007-05-09,Coupe
2012-02-02,Rolls Royce,United Kingdom,88000,75000,750,1000,750,550,Silver Ghost,Green,2012,2,2006-09-08,Saloon
2012-03-03,Rolls Royce,United Kingdom,89000,88000,0,1000,85,550,Silver Ghost,Blue,2012,3,1987-01-05,Saloon
2012-04-04,Rolls Royce,United Kingdom,92000,62000,0,1500,2500,550,Camargue,Canary Yellow,2012,4,1985-01-08,Saloon
2012-05-04,Rolls Royce,United Kingdom,102500,125000,0,1000,4000,550,Camargue,British Racing Green,2012,5,1986-05-06,Saloon
2012-06-04,Aston Martin,United Kingdom,110000,56000,750,500,900,550,DBS,Dark Purple,2012,6,1991-08-09,Coupe
2012-07-04,Aston Martin,France,125000,23500,2500,1000,900,550,DB7,Red,2012,7,1992-05-08,Coupe
2012-08-04,Aston Martin,United Kingdom,130000,15500,0,1000,900,750,DB9,Blue,2012,8,2005-09-08,Coupe
2012-09-04,Aston Martin,United Kingdom,75000,75890,0,1000,750,750,DB9,Silver,2012,9,1993-05-08,Coupe
2012-09-04,Aston Martin,United Kingdom,68500,99000,0,1000,750,750,DB4,Night Blue,2012,9,1975-05-06,Coupe
2012-11-04,Aston Martin,France,95000,125000,0,1500,750,750,Vantage,Canary Yellow,2012,11,1985-01-15,Coupe
2012-11-04,Aston Martin,United Kingdom,155000,125000,0,1500,600,750,Vanquish,Night Blue,2012,11,1979-03-29,Coupe
2012-12-04,Aston Martin,United Kingdom,95000,155000,5000,1500,600,570,Rapide,Black,2012,12,2004-09-08,Coupe
2012-12-04,Aston Martin,United Kingdom,178500,125000,0,1500,600,570,Zagato,British Racing Green,2012,12,1994-06-04,Coupe
2013-01-02,Rolls Royce,France,130000,62000,0,1750,600,570,Silver Ghost,Canary Yellow,2013,1,2006-09-08,Saloon
2013-02-02,Rolls Royce,United Kingdom,178500,62000,0,1750,600,654,Wraith,Silver,2013,2,2000-09-01,Saloon
2013-03-02,Rolls Royce,United Kingdom,110000,75890,0,990,600,987,Silver Ghost,Green,2013,3,1997-05-10,Saloon
2013-04-02,Rolls Royce,United Kingdom,130000,62000,0,500,600,654,Camargue,Blue,2013,4,2001-09-01,Saloon
2013-05-02,Rolls Royce,United Kingdom,178500,75890,950,1750,450,321,Silver Shadow,Red,2013,5,2005-06-08,Saloon
2013-09-02,Rolls Royce,United Kingdom,178500,75890,0,450,200,654,Camargue,Dark Purple,2013,9,2006-05-04,Saloon
2013-10-02,Rolls Royce,United Kingdom,178500,75890,0,1750,200,987,Silver Seraph,Red,2013,10,1997-06-01,Saloon
2013-11-02,Rolls Royce,United Kingdom,130000,75890,750,1750,300,321,Silver Ghost,Red,2013,11,1997-06-01,Saloon
2013-12-02,Rolls Royce,United Kingdom,178500,62000,0,1750,300,654,Phantom,British Racing Green,2013,12,2007-05-25,Saloon
2013-01-02,Aston Martin,United Kingdom,178500,75890,0,500,500,987,DB9,Dark Purple,2013,1,1997-06-01,Coupe
2013-02-02,Aston Martin,United Kingdom,110000,75890,0,500,600,963,DB4,British Racing Green,2013,2,1999-01-31,Coupe
2013-03-02,Aston Martin,United Kingdom,178500,75890,0,500,500,852,DB9,Black,2013,3,2006-05-04,Coupe
2013-05-02,Aston Martin,United Kingdom,102500,75890,0.01,500,800,852,DB4,Canary Yellow,2013,5,2006-05-04,Coupe
2013-06-02,Aston Martin,United Kingdom,178500,62000,750,450,750,654,Vanquish,Silver,2013,6,1998-05-08,Coupe
2013-07-02,Aston Martin,United Kingdom,124500,62000,1000,450,850,984,Vanquish,Green,2013,7,1997-06-01,Coupe
2013-08-02,Aston Martin,United Kingdom,130000,62000,1250,450,950,895,DB9,Blue,2013,8,2007-05-09,Coupe
2013-09-02,Aston Martin,United Kingdom,110000,62000,0,0,1500,486,DB9,Blue,2013,9,2002-02-02,Coupe
2013-10-02,Aston Martin,United Kingdom,178500,62000,0,450,1400,325,Vanquish,Red,2013,10,2001-09-01,Coupe
2013-11-02,Aston Martin,United Kingdom,130000,125000,0,1750,1560,658,Rapide,Red,2013,11,2006-09-20,Coupe
2012-08-01,Jaguar,United Kingdom,110000,50000,750,500,2570,486,XJ12,Blue,2012,8,1997-06-01,Saloon
2012-09-01,Jaguar,USA,110000,25000,750,1750,2570,987,XJ12,Canary Yellow,2012,9,1997-06-01,Saloon
2012-10-01,Jaguar,Switzerland,44000,37500,750,1750,2570,987,XJ6,British Racing Green,2012,10,1997-06-01,Saloon
2012-11-01,Jaguar,United Kingdom,39500,25000,0,500,2570,987,XK,Dark Purple,2012,11,1997-06-01,Coupe
2012-12-01,Jaguar,United Kingdom,44000,37500,0,500,2570,987,XK,Black,2012,12,1997-06-01,Coupe
2013-12-02,Jaguar,United Kingdom,39500,37500,750,500,2570,1250,XJ6,Green,2013,12,2006-09-20,Saloon
2012-01-01,Bentley,United Kingdom,39500,25700,750,500,2570,1250,Continental,Blue,2012,1,2006-09-20,Saloon
2012-02-01,Bentley,United Kingdom,44000,25700,750,500,2570,1250,Arnage,Blue,2012,2,2006-09-20,Saloon
2012-03-01,Bentley,United Kingdom,44000,25700,750,500,2570,987,Azure,Red,2012,3,2006-09-20,Saloon
2012-04-01,Bentley,United Kingdom,110000,25700,750,775,2570,1250,Turbo R,Red,2012,4,2007-05-09,Saloon
2012-05-01,Bentley,United Kingdom,110000,62000,750,775,2570,987,Continental,Canary Yellow,2012,5,2007-05-09,Coupe
2012-06-01,Bentley,United Kingdom,110000,62000,500,775,2570,1250,Continental,Dark Purple,2012,6,2007-05-09,Convertible
2012-07-01,Bentley,United Kingdom,110000,25700,500,775,2570,987,Continental,British Racing Green,2012,7,2007-05-09,Saloon
2013-08-02,Bentley,United Kingdom,41250,62000,500,775,2570,486,Continental,Dark Purple,2013,8,2006-09-20,Coupe
2013-09-02,Bentley,France,39500,62000,1250,450,2570,486,Continental,British Racing Green,2013,9,2006-09-20,Saloon
2013-10-02,Bentley,United Kingdom,44000,62000,1000,450,2570,486,Continental,Black,2013,10,2006-09-20,Saloon
2013-11-02,Bentley,United Kingdom,44000,25700,1000,450,2570,486,Azure,Night Blue,2013,11,2006-09-20,Saloon
2013-12-02,Bentley,United Kingdom,44000,25700,1000,450,2570,486,Turbo R,Canary Yellow,2013,12,2006-09-20,Convertible
2013-01-02,Jaguar,United Kingdom,39500,25700,150,50,250,250,XJ6,Dark Purple,2013,1,2006-09-20,Saloon
